data;indice_isolamento
01/02/2020;31,70
02/02/2020;38,40
03/02/2020;26,2
04/02/2020;26,9
05/02/2020;27,2
06/02/2020;26,2
07/02/2020;23,3
08/02/2020;28,2
09/02/2020;37
10/02/2020;23,5
11/02/2020;24,4
12/02/2020;24,4
13/02/2020;25,6
14/02/2020;24,4
15/02/2020;32,2
16/02/2020;39,3
17/02/2020;24,3
18/02/2020;27
19/02/2020;28,5
20/02/2020;25,3
21/02/2020;25
22/02/2020;32,9
23/02/2020;41,1
24/02/2020;37
25/02/2020;42,7
26/02/2020;34,7
27/02/2020;27,5
28/02/2020;26,6
29/02/2020;31,4
01/03/2020;42
02/03/2020;27,7
03/03/2020;29
04/03/2020;30,2
05/03/2020;29,7
06/03/2020;28,5
07/03/2020;31,8
08/03/2020;41
09/03/2020;29,2
10/03/2020;29,7
11/03/2020;28,3
12/03/2020;30,1
13/03/2020;30,1
14/03/2020;35,7
15/03/2020;42,6
16/03/2020;32,1
17/03/2020;32,8
18/03/2020;36
19/03/2020;39,3
20/03/2020;40,5
21/03/2020;52,1
22/03/2020;62,2
23/03/2020;52,4
24/03/2020;53,8
25/03/2020;53,8
26/03/2020;53,1
27/03/2020;51,4
28/03/2020;53,9
29/03/2020;59,9
30/03/2020;49,2
31/03/2020;48,5
01/04/2020;46
02/04/2020;48,5
03/04/2020;47,4
04/04/2020;50,1
05/04/2020;56,8
06/04/2020;47,4
07/04/2020;45,8
08/04/2020;45
09/04/2020;44,3
10/04/2020;54,1
11/04/2020;48
12/04/2020;54
13/04/2020;46,1
14/04/2020;46
15/04/2020;45,7
16/04/2020;42,8
17/04/2020;43
18/04/2020;46,6
19/04/2020;54,6
20/04/2020;45,4
21/04/2020;52,3
22/04/2020;43,2
23/04/2020;44,2
24/04/2020;42,3
25/04/2020;46
26/04/2020;53,1
27/04/2020;44,1
28/04/2020;43,4
29/04/2020;42,3
30/04/2020;41,2
01/05/2020;49,7
02/05/2020;44
03/05/2020;50
04/05/2020;43,1
05/05/2020;42,5
06/05/2020;42,8
07/05/2020;43,3
08/05/2020;40,8
09/05/2020;43,1
10/05/2020;47
11/05/2020;43,3
12/05/2020;43,7
13/05/2020;43,4
14/05/2020;43
15/05/2020;42,5
16/05/2020;45,8
17/05/2020;52,2
18/05/2020;42,7
19/05/2020;42,4
20/05/2020;41,7
21/05/2020;42,2
22/05/2020;41,2
23/05/2020;45,3
24/05/2020;53,2
25/05/2020;43,9
26/05/2020;41,6
27/05/2020;41,1
28/05/2020;41,2
29/05/2020;39,2
30/05/2020;42,6
31/05/2020;49,8
01/06/2020;40,7
02/06/2020;40,5
03/06/2020;39,5
04/06/2020;39,1
05/06/2020;39,2
06/06/2020;40,6
07/06/2020;48,7
08/06/2020;38,2
09/06/2020;38
10/06/2020;39,3
11/06/2020;43,7
12/06/2020;36,8
13/06/2020;40,1
14/06/2020;48,9
15/06/2020;39
16/06/2020;39,1
17/06/2020;37,3
18/06/2020;38,5
19/06/2020;34,7
20/06/2020;39,1
21/06/2020;47,3
22/06/2020;38,4
23/06/2020;37,8
24/06/2020;39
25/06/2020;38,3
26/06/2020;37,5
27/06/2020;43,2
28/06/2020;49,8
29/06/2020;40,5
30/06/2020;39,7
01/07/2020;39
02/07/2020;39,2
03/07/2020;37,6
